date,index_value,index_id
1919-01-01,4.8773,INDPRO
1919-02-01,4.6617,INDPRO
1919-03-01,4.527,INDPRO
1919-04-01,4.6078,INDPRO
1919-05-01,4.6348,INDPRO
1919-06-01,4.9312,INDPRO
1919-07-01,5.2276,INDPRO
1919-08-01,5.3084,INDPRO
1919-09-01,5.2006,INDPRO
1919-10-01,5.1467,INDPRO
1919-11-01,5.0659,INDPRO
1919-12-01,5.1467,INDPRO
1920-01-01,5.6318,INDPRO
1920-02-01,5.6318,INDPRO
1920-03-01,5.524,INDPRO
1920-04-01,5.2276,INDPRO
1920-05-01,5.3623,INDPRO
1920-06-01,5.4162,INDPRO
1920-07-01,5.2815,INDPRO
1920-08-01,5.3084,INDPRO
1920-09-01,5.1198,INDPRO
1920-10-01,4.9042,INDPRO
1920-11-01,4.5,INDPRO
1920-12-01,4.2306,INDPRO
1921-01-01,3.9881,INDPRO
1921-02-01,3.9072,INDPRO
1921-03-01,3.7994,INDPRO
1921-04-01,3.7994,INDPRO
1921-05-01,3.9072,INDPRO
1921-06-01,3.8803,INDPRO
1921-07-01,3.8533,INDPRO
1921-08-01,3.9881,INDPRO
1921-09-01,4.015,INDPRO
1921-10-01,4.2575,INDPRO
1921-11-01,4.2036,INDPRO
1921-12-01,4.1767,INDPRO
1922-01-01,4.3384,INDPRO
1922-02-01,4.527,INDPRO
1922-03-01,4.7695,INDPRO
1922-04-01,4.6078,INDPRO
1922-05-01,4.8503,INDPRO
1922-06-01,5.0929,INDPRO
1922-07-01,5.0929,INDPRO
1922-08-01,4.9851,INDPRO
1922-09-01,5.2545,INDPRO
1922-10-01,5.5509,INDPRO
1922-11-01,5.7935,INDPRO
1922-12-01,5.9551,INDPRO
1923-01-01,5.8204,INDPRO
1923-02-01,5.9012,INDPRO
1923-03-01,6.0899,INDPRO
1923-04-01,6.2246,INDPRO
1923-05-01,6.3054,INDPRO
1923-06-01,6.2515,INDPRO
1923-07-01,6.1977,INDPRO
1923-08-01,6.0899,INDPRO
1923-09-01,5.9551,INDPRO
1923-10-01,5.9282,INDPRO
1923-11-01,5.9282,INDPRO
1923-12-01,5.7935,INDPRO
1924-01-01,5.9282,INDPRO
1924-02-01,6.036,INDPRO
1924-03-01,5.9282,INDPRO
1924-04-01,5.7396,INDPRO
1924-05-01,5.497,INDPRO
1924-06-01,5.2545,INDPRO
1924-07-01,5.1737,INDPRO
1924-08-01,5.3623,INDPRO
1924-09-01,5.5509,INDPRO
1924-10-01,5.6857,INDPRO
1924-11-01,5.7935,INDPRO
1924-12-01,5.9551,INDPRO
1925-01-01,6.1438,INDPRO
1925-02-01,6.1438,INDPRO
1925-03-01,6.1438,INDPRO
1925-04-01,6.1977,INDPRO
1925-05-01,6.1707,INDPRO
1925-06-01,6.1168,INDPRO
1925-07-01,6.2785,INDPRO
1925-08-01,6.1707,INDPRO
1925-09-01,6.0899,INDPRO
1925-10-01,6.3324,INDPRO
1925-11-01,6.4671,INDPRO
1925-12-01,6.548,INDPRO
1926-01-01,6.4402,INDPRO
1926-02-01,6.4402,INDPRO
1926-03-01,6.521,INDPRO
1926-04-01,6.521,INDPRO
1926-05-01,6.4671,INDPRO
1926-06-01,6.5479,INDPRO
1926-07-01,6.5749,INDPRO
1926-08-01,6.6557,INDPRO
1926-09-01,6.7635,INDPRO
1926-10-01,6.7635,INDPRO
1926-11-01,6.7366,INDPRO
1926-12-01,6.7096,INDPRO
1927-01-01,6.6827,INDPRO
1927-02-01,6.7366,INDPRO
1927-03-01,6.8174,INDPRO
1927-04-01,6.6557,INDPRO
1927-05-01,6.7096,INDPRO
1927-06-01,6.6827,INDPRO
1927-07-01,6.6018,INDPRO
1927-08-01,6.6018,INDPRO
1927-09-01,6.4941,INDPRO
1927-10-01,6.3593,INDPRO
1927-11-01,6.3593,INDPRO
1927-12-01,6.3863,INDPRO
1928-01-01,6.521,INDPRO
1928-02-01,6.5749,INDPRO
1928-03-01,6.6288,INDPRO
1928-04-01,6.6018,INDPRO
1928-05-01,6.6827,INDPRO
1928-06-01,6.7366,INDPRO
1928-07-01,6.8174,INDPRO
1928-08-01,6.9522,INDPRO
1928-09-01,7.006,INDPRO
1928-10-01,7.1408,INDPRO
1928-11-01,7.2755,INDPRO
1928-12-01,7.4102,INDPRO
1929-01-01,7.518,INDPRO
1929-02-01,7.4911,INDPRO
1929-03-01,7.518,INDPRO
1929-04-01,7.6528,INDPRO
1929-05-01,7.7875,INDPRO
