date,GDP,UNRATE,INDPRO,CPIAUCSL,PCE,PPIACO,CSUSHPISA,TTLCONS,SP500,RSXFS
2010-01,14764.611,9.8,89.1936,217.488,10056.1,181.9,147.395,822114.0,,308343.0
2010-02,14836.471666666666,9.8,89.5089,217.281,10093.4,181.0,145.632,814885.0,,308568.0
2010-03,14908.332333333334,9.9,90.1449,217.353,10156.0,183.3,145.86,821849.0,,315984.0
2010-04,14980.193,9.9,90.474,217.403,10182.3,184.4,146.40200000000002,829664.0,,318803.0
2010-05,15033.997,9.6,91.7131,217.29,10210.8,184.8,146.392,823447.0,,315560.0
2010-06,15087.801,9.4,91.9287,217.199,10231.3,183.5,145.719,821943.0,,314889.0
2010-07,15141.605,9.4,92.2737,217.605,10268.1,184.1,144.989,799694.0,,315811.0
2010-08,15197.560333333333,9.5,92.615,217.923,10307.1,184.9,143.912,802030.0,,317208.0
2010-09,15253.515666666666,9.5,92.8668,218.275,10327.1,184.9,143.016,807728.0,,320261.0
2010-10,15309.471,9.4,92.6138,219.035,10386.4,186.6,142.528,801372.0,,324098.0
2010-11,15323.462,9.8,92.6772,219.59,10433.6,187.7,142.171,804151.0,,327488.0
2010-12,15337.453,9.3,93.5741,220.472,10471.0,189.7,142.06,789395.0,,329760.0
2011-01,15351.444,9.1,93.3793,221.187,10514.3,192.7,141.523,759964.0,,332282.0
2011-02,15420.141,9.0,93.0051,221.898,10540.6,195.8,140.352,758376.0,,334682.0
2011-03,15488.838,9.0,93.978,223.046,10619.7,199.2,139.983,769157.0,,338001.0
2011-04,15557.535,9.1,93.6525,224.093,10652.1,203.1,140.009,769437.0,,339713.0
2011-05,15587.583666666667,9.0,93.7878,224.806,10672.2,204.1,139.903,775251.0,,339169.0
2011-06,15617.632333333333,9.1,94.0378,224.806,10694.8,203.9,139.859,794839.0,,341787.0
2011-07,15647.681,9.0,94.5146,225.395,10731.6,204.6,139.73,792381.0,,341438.0
2011-08,15712.543,9.0,95.1263,226.106,10750.3,203.2,139.308,811953.0,,342121.0
2011-09,15777.405,9.0,95.0732,226.597,10783.2,203.7,138.668,813660.0,,345745.0
2011-10,15842.267,8.8,95.7291,226.75,10802.9,201.1,137.952,808378.0,,347942.0
2011-11,15917.786,8.6,95.7455,227.169,10806.8,201.4,137.15200000000002,812050.0,,349156.0
2011-12,15993.305,8.5,96.2147,227.223,10817.8,199.8,136.674,821367.0,,349721.0
2012-01,16068.824,8.3,96.8051,227.842,10896.8,200.7,136.608,830610.0,,352736.0
